BookingID,PropertyID,UserID,BookingDate,Status,Amount_Advance,UserName,UserEmail,UserPhone,Total_Amount
BOOK_001,PROP_0001,USER_012,2025-10-29,Pending,0.16,,,,
BOOK_002,PROP_0002,USER_025,2025-09-09,Pending,0.38,,,,
BOOK_003,PROP_0003,USER_019,2025-10-22,Confirmed,0.21,,,,
BOOK_004,PROP_0004,USER_044,2025-09-02,Cancelled,0.13,,,,
BOOK_005,PROP_0005,USER_030,2025-08-24,Cancelled,0.58,,,,
BOOK_006,PROP_0006,USER_024,2025-10-10,Cancelled,0.66,,,,
BOOK_007,PROP_0007,USER_031,2025-10-13,Confirmed,0.63,,,,
BOOK_008,PROP_0008,USER_037,2025-10-08,Pending,0.13,,,,
BOOK_009,PROP_0009,USER_030,2025-08-07,Cancelled,0.25,,,,
BOOK_010,PROP_0010,USER_032,2025-09-11,Pending,0.62,,,,
BOOK_011,PROP_0011,USER_028,2025-10-16,Pending,0.12,,,,
BOOK_012,PROP_0012,USER_037,2025-08-18,Confirmed,0.3,,,,
BOOK_013,PROP_0013,USER_014,2025-09-29,Pending,0.33,,,,
BOOK_014,PROP_0014,USER_038,2025-10-27,Confirmed,0.14,,,,
BOOK_015,PROP_0015,USER_042,2025-10-02,Cancelled,0.15,,,,
BOOK_016,PROP_0016,USER_004,2025-09-09,Confirmed,0.16,,,,
BOOK_017,PROP_0017,USER_030,2025-09-25,Pending,0.04,,,,
BOOK_018,PROP_0018,USER_028,2025-11-01,Cancelled,0.06,,,,
BOOK_019,PROP_0019,USER_012,2025-08-26,Pending,0.09,,,,
BOOK_020,PROP_0020,USER_027,2025-08-04,Confirmed,0.18,,,,
BOOK_20251102103846,PROP_0176,USER_567891,2025-11-02 10:38:46,Confirmed,0.11,Ajay,palai@gmai.com,1234567891,1.05
